what,where,why,how,when,text,id
perform,series discovery techniques,,,,APT1 used a batch script to perform a series of discovery techniques and saves it to a text file., T1119 
saves,APT1,text file,,,APT1 used a batch script to perform a series of discovery techniques and saves it to a text file., T1119 
used,publicly available tool,gather compress multiple documents DCCC DNC networks,,,APT28 used a publicly available tool to gather and compress multiple documents on the DCCC and DNC networks., T1119 
gather,multiple documents,,,,APT28 used a publicly available tool to gather and compress multiple documents on the DCCC and DNC networks., T1119 
compress,multiple documents DCCC DNC networks,,,,APT28 used a publicly available tool to gather and compress multiple documents on the DCCC and DNC networks., T1119 
monitors,USB devices,,,,BADNEWS monitors USB devices and copies files with certain extensions toa predefined directory., T1119 
predefined,directory,,,,BADNEWS monitors USB devices and copies files with certain extensions toa predefined directory., T1119 
generates,Bankshot,,recursively,,Bankshot recursively generates a list of files within a directory and sends them back to the control server., T1119 
sends,,back control server,,,Bankshot recursively generates a list of files within a directory and sends them back to the control server., T1119 
executes,batch script,store discovery information directory,,,Comnie executes a batch script to store discovery information in directory, T1119 
store,discovery information,,,,Comnie executes a batch script to store discovery information in directory, T1119 
,,,,,FIN5 scans processes on all victim systems in the environment and uses automated scripts to pull back the results., T1119 
uses,automated scripts,pull back results,,,FIN5 scans processes on all victim systems in the environment and uses automated scripts to pull back the results., T1119 
automated,scripts,,,,FIN5 scans processes on all victim systems in the environment and uses automated scripts to pull back the results., T1119 
pull,results,,,,FIN5 scans processes on all victim systems in the environment and uses automated scripts to pull back the results., T1119 
used,script,"iterate list compromised PoS systems , copy data log file , remove original data files",,,"FIN6 has used a script to iterate through a list of compromised PoS systems, copy data to a log file, and remove the original data files.", T1119 
,,,,,"FIN6 has used a script to iterate through a list of compromised PoS systems, copy data to a log file, and remove the original data files.", T1119 
compromised,PoS systems,,,,"FIN6 has used a script to iterate through a list of compromised PoS systems, copy data to a log file, and remove the original data files.", T1119 
copy,data,log file,,,"FIN6 has used a script to iterate through a list of compromised PoS systems, copy data to a log file, and remove the original data files.", T1119 
remove,original data files,,,,"FIN6 has used a script to iterate through a list of compromised PoS systems, copy data to a log file, and remove the original data files.", T1119 
receives,batch script execute set commands command prompt,,,,A Helminth VBScript receives a batch script to execute a set of commands in a command prompt., T1119 
execute,set commands,,,,A Helminth VBScript receives a batch script to execute a set of commands in a command prompt., T1119 
inserted,new drive,,,,"Each time a new drive is inserted, InvisiMole generates a list of all files on the drive and stores it in an encrypted file.", T1119 
generates,list files drive,,,,"Each time a new drive is inserted, InvisiMole generates a list of all files on the drive and stores it in an encrypted file.", T1119 
encrypted,file,,,,"Each time a new drive is inserted, InvisiMole generates a list of all files on the drive and stores it in an encrypted file.", T1119 
configured,LightNeuron,,,,LightNeuron can be configured to automatically collect files under a specified directory., T1119 
collect,files,,automatically,,LightNeuron can be configured to automatically collect files under a specified directory., T1119 
specified,directory,,,,LightNeuron can be configured to automatically collect files under a specified directory., T1119 
executes,RAR tool recursively archive files based predefined list file extensions,,,,Micropsia executes an RAR tool to recursively archive files based on a predefined list of file extensions  ., T1119 
,,,,,Micropsia executes an RAR tool to recursively archive files based on a predefined list of file extensions  ., T1119 
used,automated collection,,,,OilRig has used automated collection., T1119 
automated,collection,,,,OilRig has used automated collection., T1119 
developed,file stealer search directory,,,,Patchwork developed a file stealer to search directory, T1119 
search,directory,,,,Patchwork developed a file stealer to search directory, T1119 
executed,"script enumerate drives , store list , upload generated files C2 server",,,,"Patchwork also executed a script to enumerate all drives, store them as a list, and upload generated files to the C2 server.", T1119 
enumerate,drives,,,,"Patchwork also executed a script to enumerate all drives, store them as a list, and upload generated files to the C2 server.", T1119 
store,,,,,"Patchwork also executed a script to enumerate all drives, store them as a list, and upload generated files to the C2 server.", T1119 
upload,generated files,C2 server,,,"Patchwork also executed a script to enumerate all drives, store them as a list, and upload generated files to the C2 server.", T1119 
generated,files,,,,"Patchwork also executed a script to enumerate all drives, store them as a list, and upload generated files to the C2 server.", T1119 
contains,PoshC2,,,,PoshC2 contains a module for recursively parsing through files and directories to gather valid credit card numbers., T1119 
parsing,files directories,gather valid credit card numbers,recursively,,PoshC2 contains a module for recursively parsing through files and directories to gather valid credit card numbers., T1119 
gather,valid credit card numbers,,,,PoshC2 contains a module for recursively parsing through files and directories to gather valid credit card numbers., T1119 
collects,data victim,,automatically,,Proxysvc automatically collects data about the victim and sends it to the control server., T1119 
